Page URL,Page type,Search intent,Primary keyword,Secondary keywords,Related entities,Target audience,Funnel stage,Current page,New or existing,Title,H1,Canonical,Internal links from,Internal links to,CTA,Status
https://cmsv6.co.uk/,Core hub,Commercial investigation,CMSV6 UK,"CMSV6 live video; CMSV6 GPS tracking; remote DVR access","iCustodian; mobile DVR; CCTV",All compatible-system buyers,Awareness/consideration,Yes,Existing improved,"CMSV6 UK | Live CCTV Video, GPS Tracking & Remote DVR Access","Live CCTV capture. Remote access. Complete visibility.",Self,"Navigation; every logo; footer","Features; solutions; pricing; equipment; resources","Start two months free",Implemented
https://cmsv6.co.uk/features,Feature hub,Commercial investigation,CMSV6 features,"live CCTV; GPS; remote playback; alerts",CMSV6,Technical buyers,Consideration,Yes,Existing improved,"CMSV6 Features | Live CCTV, GPS & Remote Playback","Remote monitoring that helps you see, locate and respond.",Self,"Navigation; homepage","Playback guide; GPS guide; compatibility","Check compatibility",Implemented
https://cmsv6.co.uk/solutions,Solution hub,Commercial investigation,CMSV6 solutions,"vehicle CCTV; business CCTV; farm CCTV; boat CCTV",CMSV6,Industry buyers,Consideration,Yes,Existing improved,"CMSV6 Solutions | Vehicles, Sites, Farms & Marine","Moving, fixed, temporary or remote — keep the right view.",Self,"Navigation; homepage","All published solution pages","Discuss a solution",Implemented
https://cmsv6.co.uk/equipment,Commercial,Transactional,CMSV6-compatible DVRs,"CMSV6 MDVR; iCustodian DVR",iCustodian products,Equipment buyers,Decision,Yes,Existing improved,"CMSV6-Compatible DVRs | iCustodian Mobile CCTV Systems","Choose the right DVR for the job.",Self,"Navigation; homepage; guides","iCustodian products; compatibility","View iCustodian product",Implemented
https://cmsv6.co.uk/pricing,Commercial,Transactional,CMSV6 hosting prices UK,"CMSV6 subscription; CMSV6 licence; CMSV6 renewal",CMSV6 hosting,Buyers,Decision,Yes,Existing improved,"CMSV6 Hosting Prices UK | From £60 Per Device","Clear prices. Flexible terms. Per compatible device.",Self,"Navigation; homepage; solution pages","Contact; equipment","Choose hosting term",Implemented
https://cmsv6.co.uk/cmsv6-device-compatibility,Commercial tool,Transactional,CMSV6 device compatibility,"CMSV6 existing DVR; compatible recorder",DVR firmware and connectivity,Existing equipment owners,Decision,No,New,"CMSV6 Device Compatibility Checker | Manual DVR Review","Check your DVR before activation.",Self,"Equipment; guides; solution pages","Equipment; contact","Request manual check",Implemented
https://cmsv6.co.uk/solutions/vehicle-cctv,Solution,Commercial investigation,vehicle CCTV live streaming,"vehicle camera live view; mobile DVR remote viewing",MDVR; GPS,Vehicle owners and operators,Consideration,No,New,"Vehicle CCTV Live Streaming & GPS | CMSV6 UK","Vehicle CCTV with live remote viewing and GPS",Self,"Solutions; homepage","Fleet; DVR guide; pricing","Check compatibility",Implemented
https://cmsv6.co.uk/solutions/fleet-cctv-and-video-telematics,Solution,Commercial investigation,fleet CCTV monitoring,"fleet video telematics; fleet live video; GPS video tracking",Fleet maps; MDVR,Fleet managers,Consideration,No,New,"Fleet CCTV Live Video & GPS Tracking | CMSV6 UK","Fleet CCTV live video, remote playback and GPS",Self,"Solutions; homepage; vehicle page","Vehicle; HGV; quote","Request fleet quote",Implemented
https://cmsv6.co.uk/solutions/taxi-private-hire-cctv,Solution,Commercial investigation,taxi CCTV system,"private-hire CCTV; taxi CCTV GPS; taxi remote playback",Licensing authorities; encryption,Taxi operators,Consideration,No,New,"Taxi & Private-Hire CCTV with GPS | CMSV6 Remote Viewing","Taxi CCTV with protected recording and remote access",Self,"Solutions","Responsible use; vehicle; compatibility","Check compatibility",Implemented
https://cmsv6.co.uk/solutions/lorry-hgv-cctv,Solution,Commercial investigation,lorry HGV CCTV live view,"HGV video telematics; multi-camera lorry CCTV",Eight-channel MDVR,Haulage operators,Consideration,No,New,"Lorry & HGV CCTV Live View | CMSV6 Video Telematics","Multi-camera lorry CCTV with remote visibility",Self,"Solutions; fleet","Fleet; equipment; playback","Check compatibility",Implemented
https://cmsv6.co.uk/solutions/business-cctv,Solution,Commercial investigation,business CCTV remote viewing,"warehouse CCTV; shop CCTV live view; multi-site CCTV",DVR; premises,Business owners,Consideration,No,New,"Business CCTV Remote Viewing | Shops, Offices & Warehouses","Business CCTV remote viewing across one or several sites",Self,"Solutions; homepage","Responsible use; equipment","Check compatibility",Implemented
https://cmsv6.co.uk/solutions/farm-cctv,Solution,Commercial investigation,farm CCTV remote viewing,"livestock monitoring cameras; barn CCTV; 4G farm CCTV",Barns; livestock; rural broadband,Farm owners,Consideration,No,New,"Farm CCTV with Remote Viewing | CMSV6 Livestock Monitoring","Farm CCTV for remote barns, livestock and rural assets",Self,"Solutions; homepage","GPS guide; compatibility; pricing","Check rural compatibility",Implemented
https://cmsv6.co.uk/solutions/boat-marine-cctv,Solution,Commercial investigation,boat CCTV remote monitoring,"marine CCTV; boat GPS camera; vessel camera system",Marine power and connectivity,Vessel owners,Consideration,No,New,"Boat CCTV & GPS Remote Monitoring | CMSV6 Marine Systems","Boat CCTV and GPS remote monitoring with CMSV6",Self,"Solutions; homepage","Equipment; international","Request compatibility review",Implemented
https://cmsv6.co.uk/resources/what-is-cmsv6,Guide,Informational,what is CMSV6,"how CMSV6 works; CMSV6 platform",CMSV6; DVR,New buyers,Awareness,No,New,"What Is CMSV6? UK Live CCTV, GPS & Remote DVR Guide","What is CMSV6 and how does it work?",Self,"Resources; homepage","How it works; DVR guide; pricing","Check compatibility",Implemented
https://cmsv6.co.uk/resources/choosing-a-cmsv6-compatible-dvr,Guide,Commercial investigation,CMSV6-compatible DVR buying guide,"4 channel DVR; 8 channel MDVR; 4G DVR",iCustodian equipment,Equipment buyers,Consideration,No,New,"CMSV6-Compatible DVR Buying Guide | iCustodian UK","How to choose a CMSV6-compatible DVR",Self,"Resources; vehicle page","Equipment; compatibility","Compare equipment",Implemented
https://cmsv6.co.uk/resources/live-cctv-versus-recorded-playback,Guide,Informational,live CCTV versus playback,"remote DVR playback; remote video download",Local DVR storage,Users and investigators,Awareness,No,New,"Live CCTV Viewing vs Recorded Playback | CMSV6 Guide","Live CCTV viewing versus recorded DVR playback",Self,"Resources; features; HGV","Offline guide; support","Get playback help",Implemented
https://cmsv6.co.uk/resources/cmsv6-gps-tracking-guide,Guide,Informational,CMSV6 GPS tracking,"GPS not updating; vehicle GPS video",GPS antenna; mobile data,Fleet and vehicle users,Awareness,No,New,"CMSV6 GPS Tracking Explained | Live Location & History","CMSV6 GPS tracking explained",Self,"Resources; farm; support","Vehicle; fleet; support","Get GPS help",Implemented
https://cmsv6.co.uk/resources/cmsv6-device-activation-guide,Guide,Navigational/transactional,CMSV6 device activation,"CMSV6 setup; first login; add device",Firmware; account,New customers,Decision,No,New,"CMSV6 Device Activation Guide | Compatibility to First Login","How to prepare a device for CMSV6 activation",Self,"Resources; support","Compatibility; how it works; contact","Request activation",Implemented
https://cmsv6.co.uk/resources/cmsv6-troubleshooting-device-offline,Guide,Informational/support,CMSV6 device offline,"CMSV6 connection problem; SIM APN; DVR offline",SIM; antennas; DVR storage,Existing customers,Retention,No,New,"CMSV6 Device Offline? Connection Troubleshooting Guide","Why is my CMSV6 device offline?",Self,"Resources; support","Support; playback; contact","Contact support",Implemented
https://cmsv6.co.uk/international-cmsv6-hosting,Commercial,Commercial investigation,international CMSV6 hosting,"UK-hosted CCTV platform; cross-border CCTV access",UK hosting; local law,International buyers,Consideration,No,New,"International CMSV6 Hosting | UK-Hosted Remote CCTV","UK-hosted CMSV6 for compatible systems abroad.",Self,"Footer; marine","Compatibility; contact","Request international quote",Implemented
https://cmsv6.co.uk/support,Support hub,Navigational,CMSV6 support,"CMSV6 login; activation; troubleshooting",CMSV6 account,Existing customers,Retention,Yes,Existing improved,"CMSV6 Support | Setup, Activation & Troubleshooting","Practical help from setup to playback.",Self,"Navigation; footer; guides","Activation; offline; GPS; contact","Request support",Implemented
https://cmsv6.co.uk/how-it-works,Core explainer,Informational,how CMSV6 works,"connect DVR to CMSV6; UK CMSV6 server",DVR; internet; CMSV6,New customers,Awareness,Yes,Existing improved,"How CMSV6 Works | Connect DVRs for Remote Monitoring","From compatible camera to your screen.",Self,"Navigation; homepage; activation guide","Compatibility; support; pricing","Check compatibility",Implemented
https://cmsv6.co.uk/resources,Resource hub,Informational,CMSV6 guides,"CMSV6 help; remote CCTV guides",iCustodian Technical Team,Buyers and users,Awareness,Yes,Existing improved,"CMSV6 Guides & Resources","Practical CMSV6 guides, reviewed by the iCustodian Technical Team.",Self,"Navigation; footer; sitemap","All published guides; editorial policy","Read a guide",Implemented
https://cmsv6.co.uk/faq,FAQ,Informational,CMSV6 frequently asked questions,"CMSV6 data; storage; compatibility",CMSV6,Buyers and users,Awareness,Yes,Existing,"CMSV6 Frequently Asked Questions","Straight answers before you connect.",Self,"Footer; sitemap","Compatibility; contact","Ask about setup",Implemented
https://cmsv6.co.uk/about,Entity,Informational,about iCustodian CMSV6,"iCustodian remote CCTV experience",iCustodian Limited,Prospective customers,Trust,Yes,Existing improved,"About iCustodian CMSV6 | UK Remote CCTV Specialists","Specialist CCTV products with a connected service.",Self,"Footer; sitemap","Editorial; contact","Contact iCustodian",Implemented
https://cmsv6.co.uk/contact,Contact,Transactional,contact CMSV6,"CMSV6 quote; CMSV6 support email",iCustodian Limited,All audiences,Decision,Yes,Existing improved,"Contact CMSV6 | Subscription, Support & Fleet Quotes","Tell us what you need to see.",Self,"CTAs; footer; guides","Compatibility; support","Send enquiry",Implemented
https://cmsv6.co.uk/editorial-policy,Trust policy,Informational,CMSV6 editorial policy,"technical review; content corrections",iCustodian Technical Team,Readers and partners,Trust,No,New,"CMSV6 Editorial Policy | Technical Review & Corrections","How CMSV6 information is checked and updated.",Self,"Resources; footer; sitemap","Privacy; contact","Suggest correction",Implemented
https://cmsv6.co.uk/responsible-use,Guidance,Informational,responsible CCTV use,"employee CCTV; CCTV audio; GPS privacy",ICO; data protection,System operators,Trust,Yes,Existing improved,"Responsible CCTV Use | CMSV6","Use CCTV, audio and GPS fairly.",Self,"Footer; solution pages","Privacy; contact","Review monitoring use",Implemented
https://cmsv6.co.uk/privacy,Legal,Navigational,CMSV6 privacy policy,"iCustodian privacy; CCTV processor",iCustodian Limited; ICO,Customers and data subjects,Trust,Yes,Existing,"CMSV6 Privacy Policy | iCustodian","CMSV6 Privacy Policy",Self,"Footer; sitemap","Contact","Contact privacy team",Implemented
https://cmsv6.co.uk/terms,Legal,Navigational,CMSV6 terms of use,"CMSV6 service terms; cancellation rights",iCustodian Limited,Customers,Trust,Yes,Existing,"Terms of Use and CMSV6 Service Terms","Terms of Use and CMSV6 Service Terms",Self,"Footer; sitemap","Contact","Contact support",Implemented
https://cmsv6.co.uk/sitemap,Utility,Informational,CMSV6 website sitemap,"CMSV6 pages; CMSV6 guides",CMSV6,Visitors and crawlers,Navigation,No,New,"CMSV6 Website Sitemap | Services, Solutions & Guides","Find CMSV6 services, solutions and guides.",Self,"Footer; 404","All public pages","Choose a page",Implemented
